platform,model,impl,device,kernel,size,scenario,iter,lat_ns,e2e_ns
P1,opencl,intel-ocl,cpu,gemm,256,warm,1,1785226,2036716
P1,opencl,intel-ocl,cpu,gemm,256,warm,2,1810832,2029221
P1,opencl,intel-ocl,cpu,gemm,256,warm,3,1767525,1963362
P1,opencl,intel-ocl,cpu,gemm,256,warm,4,1946374,2043152
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,0,1584858,1706753
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,1,1491316,1673893
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,2,1497855,1693261
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,3,1626162,1602003
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,4,1578620,1584797
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,0,1597639,1598140
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,1,1589484,1617980
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,2,1493566,1725760
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,3,1488799,1664711
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,4,1488154,1617656
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,0,2251301,2319676
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,1,1893318,2255248
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,2,1940724,2132648
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,3,1937402,2166260
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,4,2102549,2060476
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,0,2278666,2206872
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,1,1899905,2183754
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,2,1866579,2054348
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,3,1859163,2045397
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,4,1847621,2047601
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,0,4237469,4377479
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,1,4253925,4298166
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,2,4146248,4311476
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,3,4172566,4345091
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,4,4159816,4301913
P1,cpp,serial,cpu,gemm,256,warm,0,2234789,2194218
P1,cpp,serial,cpu,gemm,256,warm,1,2310354,2144541
P1,cpp,serial,cpu,gemm,256,warm,2,2212569,2252201
P1,cpp,serial,cpu,gemm,256,warm,3,2141942,2200402
P1,cpp,serial,cpu,gemm,256,warm,4,2140177,2184380
P1,opencl,pocl,cpu,gemm,256,cold,0,24367860,24541800
P1,opencl,pocl,cpu,gemm,256,cold,1,24347358,24535969
P1,opencl,pocl,cpu,gemm,256,cold,2,24795393,24556204
P1,opencl,pocl,cpu,gemm,256,cold,3,24506343,24748877
P1,opencl,pocl,cpu,gemm,256,cold,4,24811257,24386758
P1,opencl,pocl,cpu,gemm,256,warm,0,24276272,24357608
P1,opencl,pocl,cpu,gemm,256,warm,1,24279153,24519174
P1,opencl,pocl,cpu,gemm,256,warm,2,24184474,24333729
P1,opencl,pocl,cpu,gemm,256,warm,3,24246207,24290789
P1,opencl,pocl,cpu,gemm,256,warm,4,24464668,24829579
P1,opencl,intel-ocl,cpu,gemm,256,warm,0,1986790,2236583
P1,opencl,intel-ocl,cpu,gemm,256,warm,1,1967432,2146477
P1,opencl,intel-ocl,cpu,gemm,256,warm,2,1860894,1999216
P1,opencl,intel-ocl,cpu,gemm,256,warm,3,1978081,2031993
P1,opencl,intel-ocl,cpu,gemm,256,warm,4,1894252,1970990
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,0,1596717,1725945
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,1,1601607,1641870
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,2,1605090,1624580
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,3,1523981,1717002
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,4,1605333,1703789
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,0,2932837,3346128
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,1,3031459,3221702
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,2,3042494,3180416
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,3,3232853,3158809
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,4,1709358,1860338
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,0,2165504,2165215
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,1,1905402,2082939
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,2,1878693,2088371
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,3,1895026,2078335
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,4,1883083,2083509
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,0,2263632,2422579
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,1,1904311,2259053
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,2,1823370,2207974
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,3,1840158,2163209
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,4,1846067,2164309
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,0,4299929,4411515
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,1,4269223,4561158
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,2,4167755,4384782
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,3,4135213,4439001
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,4,4149023,4377793
P1,cpp,serial,cpu,gemm,256,warm,0,2144983,2300240
P1,cpp,serial,cpu,gemm,256,warm,1,2222385,2138364
P1,cpp,serial,cpu,gemm,256,warm,2,2196600,2146433
P1,cpp,serial,cpu,gemm,256,warm,3,2182654,2138642
P1,cpp,serial,cpu,gemm,256,warm,4,2220999,2133260
P1,opencl,pocl,cpu,gemm,256,cold,0,24338424,24485447
P1,opencl,pocl,cpu,gemm,256,cold,1,25020590,24568250
P1,opencl,pocl,cpu,gemm,256,cold,2,24335307,24599715
P1,opencl,pocl,cpu,gemm,256,cold,3,24327949,25170358
P1,opencl,pocl,cpu,gemm,256,cold,4,24204553,24525914
P1,opencl,pocl,cpu,gemm,256,warm,0,24427325,24463362
P1,opencl,pocl,cpu,gemm,256,warm,1,24923580,24651136
P1,opencl,pocl,cpu,gemm,256,warm,2,27535736,26728224
P1,opencl,pocl,cpu,gemm,256,warm,3,25270493,36715262
P1,opencl,pocl,cpu,gemm,256,warm,4,29057102,27771755
P1,opencl,intel-ocl,cpu,gemm,256,warm,0,2440898,2018969
P1,opencl,intel-ocl,cpu,gemm,256,warm,1,1881291,1990097
P1,opencl,intel-ocl,cpu,gemm,256,warm,2,2063018,3136267
P1,opencl,intel-ocl,cpu,gemm,256,warm,3,2512719,3144183
P1,opencl,intel-ocl,cpu,gemm,256,warm,4,2692022,2813587
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,0,2575831,2984839
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,1,2660008,2894500
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,2,2740669,2852097
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,3,2687523,2949036
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,4,2361899,1831739
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,0,1943147,1955692
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,1,1693980,1705246
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,2,1575250,1656450
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,3,1490404,1735030
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,4,1641280,2323929
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,0,1960172,2490557
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,1,1900275,2372406
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,2,1874185,2264621
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,3,1966421,2222814
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,4,1826820,2181854
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,0,1960706,2308000
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,1,1837322,2306584
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,2,1907607,2338616
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,3,1896660,2129987
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,4,1827370,2106965
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,0,4605882,4492145
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,1,4396378,4755247
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,2,5269934,4498200
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,3,4285379,4445479
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,4,4615706,4399397
P1,cpp,serial,cpu,gemm,256,warm,0,2154689,2336407
P1,cpp,serial,cpu,gemm,256,warm,1,2185463,2220426
P1,cpp,serial,cpu,gemm,256,warm,2,2177373,2188110
P1,cpp,serial,cpu,gemm,256,warm,3,2147069,2236342
P1,cpp,serial,cpu,gemm,256,warm,4,2180651,2151204
P1,opencl,pocl,cpu,gemm,256,cold,0,25148425,24250302
P1,opencl,pocl,cpu,gemm,256,cold,1,24639129,24864577
P1,opencl,pocl,cpu,gemm,256,cold,2,26056211,24500267
P1,opencl,pocl,cpu,gemm,256,cold,3,26326127,25175211
P1,opencl,pocl,cpu,gemm,256,cold,4,27675373,24393322
P1,opencl,pocl,cpu,gemm,256,warm,0,30589397,25454461
P1,opencl,pocl,cpu,gemm,256,warm,1,29137523,26854245
P1,opencl,pocl,cpu,gemm,256,warm,2,29772169,24553465
P1,opencl,pocl,cpu,gemm,256,warm,3,25350350,24334933
P1,opencl,pocl,cpu,gemm,256,warm,4,24102972,25481980
P1,opencl,intel-ocl,cpu,gemm,256,warm,0,1908189,1958336
P1,opencl,intel-ocl,cpu,gemm,256,warm,1,1760544,2057548
P1,opencl,intel-ocl,cpu,gemm,256,warm,2,1779120,2000578
P1,opencl,intel-ocl,cpu,gemm,256,warm,3,1857838,6850941
P1,opencl,intel-ocl,cpu,gemm,256,warm,4,6089417,5941879
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,0,1599856,1751532
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,1,1497546,1726456
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,2,1505900,1634895
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,3,1638397,1635076
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,4,1564119,1641264
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,0,1782603,1742278
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,1,1476021,1800316
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,2,1575361,1615100
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,3,1582870,1655262
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,4,1630482,1758021
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,0,2074600,2515383
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,1,2208457,2396893
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,2,2000742,2202513
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,3,1963447,2221716
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,4,1894028,2110650
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,0,2048200,2319639
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,1,1880470,3247503
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,2,1951309,2271407
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,3,1861538,2148971
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,4,1846759,2148339
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,0,4064733,4215465
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,1,4210610,4256028
