platform,model,impl,device,kernel,size,scenario,n,min,median,mean,std,cov,p99,p999,max,iqr,e2e_median,tail999,maxmed,label,family,gflops
P1,opencl,pocl,cpu,kalman,4096,iso,1000.0,936.765,987.0195000000001,1013.4335859999999,117.61556807629046,0.11605651292899866,1779.9250499999998,1966.241814000028,2276.745,25.88900000000001,1082.6915,1.9921002715752096,2.306686949953876,OpenCL PoCL,OpenCL,4.1498673531779255
P1,opencl,pocl,cpu,kalman,32768,intf,500.0,7612.831,8093.2035,8411.819683999998,1197.7782374071724,0.14239228637835036,15757.388969999996,16704.84460000001,16900.253,478.1322500000015,10001.306,2.0640583917110216,2.0882031447745013,OpenCL PoCL,OpenCL,4.048829366517227
P1,opencl,pocl,cpu,kalman,32768,iso,500.0,7601.96,7999.5495,8187.402279999999,792.4524368919244,0.09678923910062527,11592.563689999995,15095.86371500002,15390.381,391.8587499999994,9613.712500000001,1.887089231087328,1.9239059649546515,OpenCL PoCL,OpenCL,4.096230668989548
P1,sycl,acpp-ocl-jit-buf,cpu,conv,512,intf,1000.0,3763.849,3915.9255000000003,4136.3686959999995,599.8982228014081,0.14503016217619305,6691.602579999998,8894.163624000095,9960.72,211.1637499999997,4394.929,2.271280090492042,2.5436438972089737,SYCL→OCL Intel buf,SYCL,3.3471525441431402
P1,sycl,acpp-ocl-jit-buf,cpu,conv,512,iso,1000.0,3783.834,3903.2515000000003,4102.535715,511.06908552780413,0.1245739515829673,6228.766680000001,7957.999894000002,7984.867,154.3397500000001,4199.521000000001,2.0388129983425363,2.045696261181223,SYCL→OCL Intel buf,SYCL,3.358020870548567
P1,sycl,acpp-ocl-jit-buf,cpu,conv,1024,intf,500.0,16264.555,23773.025999999998,22520.044528000002,4044.9384158057933,0.17961502743818167,31755.181229999987,39763.430979000135,41855.977,7858.9130000000005,26893.3275,1.6726280860922011,1.7606499483910885,SYCL→OCL Intel buf,SYCL,2.2053902603732487
P1,sycl,acpp-ocl-jit-buf,cpu,conv,1024,iso,500.0,15702.231,23382.519,22270.507553999996,3965.1838689068504,0.1780464077566416,33158.55534,34421.83236400001,34570.217,7498.4000000000015,25908.0295,1.472118224901261,1.478464189422876,SYCL→OCL Intel buf,SYCL,2.242222063414126
P1,sycl,acpp-ocl-jit-buf,cpu,gemm,256,intf,1000.0,1802.957,1871.8485,1983.068808,347.223023653101,0.17509378507309012,3339.7476699999997,5085.943248000076,5925.351,90.07275000000004,2094.3435,2.717069916716057,3.165507785485844,SYCL→OCL Intel buf,SYCL,17.925826796345966
P1,sycl,acpp-ocl-jit-buf,cpu,gemm,256,iso,1000.0,1806.648,1880.9405000000002,1915.904066,129.71055679635356,0.06770201029280218,2517.1269899999998,3060.7609330000046,3109.645,85.02225000000021,2076.2165,1.6272502681504302,1.6532394299553865,SYCL→OCL Intel buf,SYCL,17.839177794300245
P1,sycl,acpp-ocl-jit-buf,cpu,gemm,512,intf,300.0,14765.206,20752.161500000002,19922.089883333334,4013.4529486002234,0.2014574260081944,29768.325589999993,37782.477247000126,39510.801,6957.173999999999,22333.3715,1.8206526219931414,1.903936657393496,SYCL→OCL Intel buf,SYCL,12.935301028762712
P1,sycl,acpp-ocl-jit-buf,cpu,gemm,512,iso,300.0,14735.456,19861.433,19506.620466666667,5096.668197823948,0.26127889280120276,32372.501049999966,60367.33582200044,66280.486,6579.586000000001,21507.5995,3.039424991238066,3.337145210015813,SYCL→OCL Intel buf,SYCL,13.515412306856208
P1,sycl,acpp-ocl-jit-buf,cpu,kalman,4096,intf,1000.0,394.017,441.023,456.93994799999996,87.5036310374377,0.19149919244407518,644.2358099999999,1739.672398000038,2160.649,48.244500000000016,661.2165,3.944629640631073,4.899175326456897,SYCL→OCL Intel buf,SYCL,9.287497477455824
P1,sycl,acpp-ocl-jit-buf,cpu,kalman,4096,iso,1000.0,392.725,434.0705,439.226816,28.650988635506735,0.06523050868439402,518.99432,564.3794380000071,642.739,38.62325000000004,659.298,1.30020224364477,1.480724905286123,SYCL→OCL Intel buf,SYCL,9.436255170531055
P1,sycl,acpp-ocl-jit-buf,cpu,kalman,32768,intf,500.0,3008.473,3236.2815,3363.2186100000004,353.3342666631113,0.1050583704587408,4786.47088,5699.867545,5699.89,268.4540000000002,6047.469,1.7612397268284603,1.7612466653472512,SYCL→OCL Intel buf,SYCL,10.125200789857125
P1,sycl,acpp-ocl-jit-buf,cpu,kalman,32768,iso,500.0,2931.604,3221.161,3380.0744839999998,485.2840971663701,0.14357201282501977,5673.199129999998,6145.781784000002,6169.626,193.82025000000021,5279.9310000000005,1.9079399582945409,1.9153423253292834,SYCL→OCL Intel buf,SYCL,10.172729646236249
P1,sycl,acpp-ocl-jit-usm,cpu,conv,512,intf,1000.0,3775.927,3942.7235,4244.290916,719.8282444375081,0.16959917656066442,7393.7405,8920.938360000124,10294.923,340.6374999999998,4424.101000000001,2.262633522234091,2.6111196993651724,SYCL→OCL Intel USM,SYCL,3.3244025354555045
P1,sycl,acpp-ocl-jit-usm,cpu,conv,512,iso,1000.0,3781.534,3887.974,4036.696153,565.023683320624,0.13997181405410178,5789.479899999999,12622.267892000105,13798.982,93.18449999999984,4185.6855,3.246489789283597,3.5491446187654545,SYCL→OCL Intel USM,SYCL,3.371215959777509
P1,sycl,acpp-ocl-jit-usm,cpu,conv,1024,intf,500.0,16454.256,24700.2615,23749.613788,4325.756123135789,0.18214006180266684,37654.802169999995,42244.18994100016,44603.682,7294.936749999997,27149.0805,1.7102729839925037,1.8057979669567465,SYCL→OCL Intel USM,SYCL,2.122601009709958
P1,sycl,acpp-ocl-jit-usm,cpu,conv,1024,iso,500.0,15733.529,22676.575,21800.952557999997,3685.135666763077,0.1690355344317647,30088.566789999983,33894.50501400001,34050.699,6445.709999999999,24879.0255,1.494692431021881,1.501580331244908,SYCL→OCL Intel USM,SYCL,2.312024633349613
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,intf,1000.0,1792.232,1868.924,1947.49673,327.79290121926505,0.16831499440785455,3199.7491099999993,6075.221848000082,6988.156,78.25624999999991,2077.614,3.2506521656311773,3.7391333194929275,SYCL→OCL Intel USM,SYCL,17.95387720420948
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,iso,1000.0,1794.98,1873.533,1962.741534,258.1066232627573,0.13150311377817783,3072.5141299999996,3908.700691000029,4235.065,120.45124999999985,2077.824,2.0862726682690025,2.2604699250026554,SYCL→OCL Intel USM,SYCL,17.909709623476076
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,512,intf,300.0,14827.469,20513.891499999998,19481.009306666663,4040.620782051186,0.20741331819334594,31277.54520999997,41323.01818700012,42969.099,6732.5347500000025,21535.2355,2.014391963952823,2.0946342140885363,SYCL→OCL Intel USM,SYCL,13.085545275502703
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,512,iso,300.0,14756.226,20843.667999999998,19739.61646,3847.509254303826,0.19491307047937576,31808.065619999994,34940.21490900007,35815.57,6520.312249999999,21861.5945,1.6762987641618583,1.718294975721164,SYCL→OCL Intel USM,SYCL,12.878513321167851
P1,sycl,acpp-ocl-jit-usm,cpu,kalman,4096,intf,1000.0,375.567,431.1115,442.750948,47.86518412678245,0.10810859771842307,648.6065299999999,732.027179000005,788.15,36.18649999999997,652.9135,1.6979996567013524,1.8281813405580691,SYCL→OCL Intel USM,SYCL,9.501022357325192
P1,sycl,acpp-ocl-jit-usm,cpu,kalman,4096,iso,1000.0,389.053,435.5155,444.441311,45.17049027653011,0.101634319669555,623.82171,767.5562050000077,852.676,39.129999999999995,653.3675000000001,1.7624084676664957,1.9578545424904512,SYCL→OCL Intel USM,SYCL,9.404946551844883
P1,sycl,acpp-ocl-jit-usm,cpu,kalman,32768,intf,500.0,2951.866,3259.9755,3456.84084,521.668897902649,0.15090914567609914,5580.783899999999,6246.2921440000155,6480.395,392.17724999999973,6097.6685,1.9160549347686864,1.9878661664788586,SYCL→OCL Intel USM,SYCL,10.051609283566702
P1,sycl,acpp-ocl-jit-usm,cpu,kalman,32768,iso,500.0,2907.356,3246.469,3486.300858,611.9569675590449,0.1755318868005295,5980.50167,7439.905762,7440.785,291.3707500000005,5754.995,2.291691607712872,2.2919624367274105,SYCL→OCL Intel USM,SYCL,10.093427659404725
P1,sycl,acpp-omp-aot-usm,cpu,conv,512,intf,1000.0,5058.059,5161.6720000000005,5297.3502180000005,581.2973747808238,0.10973361225120037,8795.255109999998,10655.996574000043,11128.098,86.4617500000004,5507.626,2.0644466703812334,2.1559095579881866,SYCL OMP AOT USM,SYCL,2.539332216382598
P1,sycl,acpp-omp-aot-usm,cpu,conv,512,iso,1000.0,5049.685,5173.5515,5355.390467,621.0876849079534,0.11597430453206081,8228.721409999998,11124.705348000105,12288.888,179.35974999999962,5393.894,2.150303393713217,2.375329210504622,SYCL OMP AOT USM,SYCL,2.5335014061423764
P1,sycl,acpp-omp-aot-usm,cpu,conv,1024,intf,500.0,20474.488,21144.6455,22185.080076000002,3235.0947380902116,0.14582299126294176,40276.896179999996,44433.548490000096,45865.923,759.6224999999977,22789.754,2.101409006360504,2.169150719504851,SYCL OMP AOT USM,SYCL,2.4795308107671987
P1,sycl,acpp-omp-aot-usm,cpu,conv,1024,iso,500.0,20212.874,20784.9015,21545.877776,2708.3861148580113,0.1257032153906901,32454.481039999995,49977.93910000011,51689.559,766.4664999999986,22136.192499999997,2.4045309572431752,2.486880151921817,SYCL OMP AOT USM,SYCL,2.5224464017787143
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,intf,1000.0,3941.923,4211.931500000001,4448.850503000001,770.43106045843,0.1731753089790057,8138.90706,8374.07280100004,8819.428,120.88625000000047,4361.857,1.9881787728504225,2.093915345014514,SYCL OMP AOT USM,SYCL,7.966518923681449
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,iso,1000.0,3942.929,4238.5885,4430.79887,763.0881911755027,0.17222361329515795,8341.37775,8913.329412000534,14835.813,146.46399999999994,4376.1375,2.102900390542874,3.5001777124625333,SYCL OMP AOT USM,SYCL,7.9164165146015
P1,sycl,acpp-omp-aot-usm,cpu,gemm,512,intf,300.0,32388.121,34996.6525,35784.889599999995,3131.180855877261,0.08750008427795349,50726.32934,55775.621006000125,57441.89,1125.8002500000002,35600.8035,1.5937416016003283,1.6413538409137847,SYCL OMP AOT USM,SYCL,7.670318068278101
P1,sycl,acpp-omp-aot-usm,cpu,gemm,512,iso,300.0,31744.742,34171.407,34920.75436666667,3265.73335534112,0.0935184080232356,51395.38452999999,58330.17535900011,59805.459,1343.385000000002,34807.2195,1.706987814666224,1.7501608581701071,SYCL OMP AOT USM,SYCL,7.855557601125409
P1,sycl,acpp-omp-aot-usm,cpu,kalman,4096,intf,1000.0,467.444,514.6635,537.572551,112.93573510303398,0.21008463860915022,948.95025,1227.9262850001196,2554.883,33.93475000000001,636.0515,2.3858818140398914,4.9641814505983035,SYCL OMP AOT USM,SYCL,7.958598190856744
P1,sycl,acpp-omp-aot-usm,cpu,kalman,4096,iso,1000.0,457.904,515.635,535.065157,203.53972733209793,0.380401759803055,803.5736799999995,3568.9058810000947,4615.739,39.03049999999996,638.453,6.921380203050791,8.951562636360991,SYCL OMP AOT USM,SYCL,7.943603517992378
P1,sycl,acpp-omp-aot-usm,cpu,kalman,32768,intf,500.0,3677.414,3893.37,4158.235917999999,818.4808437143816,0.1968336717431966,7309.303759999995,8960.326618000005,9045.964,191.17750000000024,5659.929,2.3014320801773285,2.323427775937042,SYCL OMP AOT USM,SYCL,8.416359092508547
P1,sycl,acpp-omp-aot-usm,cpu,kalman,32768,iso,500.0,3650.377,3848.7525,3904.7468360000003,412.8780559304829,0.10573747115278612,6276.26335,7992.19763100008,9202.837,106.34150000000045,5247.8405,2.0765683506539014,2.3911220583812547,SYCL OMP AOT USM,SYCL,8.513927564840815
